timestamp_utc	device_sample
2026-08-04T20:45:33Z	card0,0,0,0,N/A,0;;
2026-08-04T20:45:35Z	card0,54,0,0,N/A,0;;
2026-08-04T20:45:36Z	card0,72,0,5,N/A,0;;
2026-08-04T20:45:37Z	card0,72,0,5,N/A,0;;
2026-08-04T20:45:38Z	card0,71,0,0,N/A,0;;
2026-08-04T20:45:39Z	card0,71,0,0,N/A,0;;
2026-08-04T20:45:40Z	card0,70,0,3,N/A,0;;
2026-08-04T20:45:41Z	card0,70,0,0,N/A,0;;
2026-08-04T20:45:43Z	card0,70,0,1,N/A,0;;
2026-08-04T20:45:44Z	card0,70,0,5,N/A,0;;
