timestamp_utc	device_sample
2026-08-03T15:57:32Z	card0,0,1,0,N/A,0;;
2026-08-03T15:57:33Z	card0,0,1,0,N/A,0;;
2026-08-03T15:57:34Z	card0,0,1,0,N/A,0;;
2026-08-03T15:57:35Z	card0,0,1,0,N/A,0;;
2026-08-03T15:57:36Z	card0,0,1,0,N/A,0;;
2026-08-03T15:57:38Z	card0,0,1,0,N/A,0;;
2026-08-03T15:57:39Z	card0,0,1,0,N/A,0;;
2026-08-03T15:57:40Z	card0,0,1,0,N/A,0;;
2026-08-03T15:57:41Z	card0,0,1,0,N/A,0;;
2026-08-03T15:57:42Z	card0,0,1,0,N/A,0;;
2026-08-03T15:57:43Z	card0,0,1,0,N/A,0;;
2026-08-03T15:57:44Z	card0,0,1,0,N/A,0;;
2026-08-03T15:57:45Z	card0,0,1,0,N/A,0;;
2026-08-03T15:57:47Z	card0,0,1,0,N/A,0;;
2026-08-03T15:57:48Z	card0,0,1,0,N/A,0;;
2026-08-03T15:57:49Z	card0,0,1,0,N/A,0;;
2026-08-03T15:57:50Z	card0,0,1,0,N/A,0;;
2026-08-03T15:57:51Z	card0,0,1,0,N/A,0;;
2026-08-03T15:57:52Z	card0,0,1,0,N/A,0;;
2026-08-03T15:57:53Z	card0,0,1,0,N/A,0;;
2026-08-03T15:57:55Z	card0,0,1,0,N/A,0;;
2026-08-03T15:57:56Z	card0,0,1,0,N/A,0;;
2026-08-03T15:57:57Z	card0,0,1,0,N/A,0;;
2026-08-03T15:57:58Z	card0,0,1,0,N/A,0;;
2026-08-03T15:57:59Z	card0,0,1,0,N/A,0;;
2026-08-03T15:58:00Z	card0,0,1,0,N/A,0;;
2026-08-03T15:58:01Z	card0,0,1,0,N/A,0;;
2026-08-03T15:58:02Z	card0,1,1,0,N/A,0;;
2026-08-03T15:58:04Z	card0,1,1,0,N/A,0;;
2026-08-03T15:58:05Z	card0,3,1,0,N/A,0;;
2026-08-03T15:58:06Z	card0,0,2,0,N/A,0;;
