timestamp_utc	device_sample
2026-08-03T16:09:13Z	card0,98,17,69,N/A,0;;
2026-08-03T16:09:15Z	card0,100,17,16,N/A,0;;
2026-08-03T16:09:16Z	card0,99,17,34,N/A,0;;
2026-08-03T16:09:17Z	card0,90,17,14,N/A,0;;
2026-08-03T16:09:18Z	card0,99,17,16,N/A,0;;
2026-08-03T16:09:19Z	card0,90,17,14,N/A,0;;
2026-08-03T16:09:20Z	card0,99,17,15,N/A,0;;
2026-08-03T16:09:21Z	card0,99,17,67,N/A,0;;
2026-08-03T16:09:23Z	card0,90,17,14,N/A,0;;
2026-08-03T16:09:24Z	card0,97,17,2,N/A,0;;
2026-08-03T16:09:25Z	card0,87,17,70,N/A,0;;
2026-08-03T16:09:26Z	card0,99,17,15,N/A,0;;
2026-08-03T16:09:27Z	card0,96,17,18,N/A,0;;
2026-08-03T16:09:28Z	card0,100,17,17,N/A,0;;
2026-08-03T16:09:29Z	card0,100,17,15,N/A,0;;
2026-08-03T16:09:31Z	card0,100,17,8,N/A,0;;
2026-08-03T16:09:32Z	card0,99,17,17,N/A,0;;
2026-08-03T16:09:33Z	card0,99,17,15,N/A,0;;
2026-08-03T16:09:34Z	card0,98,17,16,N/A,0;;
2026-08-03T16:09:35Z	card0,99,17,2,N/A,0;;
2026-08-03T16:09:36Z	card0,100,17,2,N/A,0;;
2026-08-03T16:09:37Z	card0,99,17,15,N/A,0;;
2026-08-03T16:09:38Z	card0,100,17,16,N/A,0;;
2026-08-03T16:09:40Z	card0,98,17,2,N/A,0;;
2026-08-03T16:09:41Z	card0,99,17,14,N/A,0;;
2026-08-03T16:09:42Z	card0,91,17,7,N/A,0;;
2026-08-03T16:09:43Z	card0,99,17,2,N/A,0;;
2026-08-03T16:09:44Z	card0,90,17,14,N/A,0;;
2026-08-03T16:09:45Z	card0,99,17,5,N/A,0;;
2026-08-03T16:09:46Z	card0,90,17,14,N/A,0;;
2026-08-03T16:09:47Z	card0,100,17,15,N/A,0;;
2026-08-03T16:09:49Z	card0,99,17,2,N/A,0;;
2026-08-03T16:09:50Z	card0,99,17,15,N/A,0;;
2026-08-03T16:09:51Z	card0,99,17,13,N/A,0;;
2026-08-03T16:09:52Z	card0,99,17,15,N/A,0;;
2026-08-03T16:09:53Z	card0,100,17,16,N/A,0;;
2026-08-03T16:09:54Z	card0,99,17,59,N/A,0;;
2026-08-03T16:09:55Z	card0,100,17,1,N/A,0;;
2026-08-03T16:09:57Z	card0,99,17,22,N/A,0;;
2026-08-03T16:09:58Z	card0,100,17,17,N/A,0;;
2026-08-03T16:09:59Z	card0,100,17,5,N/A,0;;
2026-08-03T16:10:00Z	card0,99,17,78,N/A,0;;
2026-08-03T16:10:01Z	card0,90,17,14,N/A,0;;
2026-08-03T16:10:02Z	card0,99,17,2,N/A,0;;
2026-08-03T16:10:03Z	card0,98,17,2,N/A,0;;
2026-08-03T16:10:04Z	card0,99,17,18,N/A,0;;
2026-08-03T16:10:06Z	card0,97,17,5,N/A,0;;
2026-08-03T16:10:07Z	card0,100,17,9,N/A,0;;
2026-08-03T16:10:08Z	card0,100,17,10,N/A,0;;
2026-08-03T16:10:09Z	card0,99,17,17,N/A,0;;
2026-08-03T16:10:10Z	card0,100,17,15,N/A,0;;
2026-08-03T16:10:11Z	card0,99,17,16,N/A,0;;
2026-08-03T16:10:12Z	card0,100,17,1,N/A,0;;
2026-08-03T16:10:13Z	card0,97,17,5,N/A,0;;
2026-08-03T16:10:15Z	card0,99,17,32,N/A,0;;
2026-08-03T16:10:16Z	card0,100,17,16,N/A,0;;
2026-08-03T16:10:17Z	card0,100,17,3,N/A,0;;
2026-08-03T16:10:18Z	card0,100,17,4,N/A,0;;
2026-08-03T16:10:19Z	card0,90,17,4,N/A,0;;
2026-08-03T16:10:20Z	card0,100,17,10,N/A,0;;
2026-08-03T16:10:21Z	card0,100,17,2,N/A,0;;
2026-08-03T16:10:23Z	card0,99,17,61,N/A,0;;
2026-08-03T16:10:24Z	card0,85,17,12,N/A,0;;
2026-08-03T16:10:25Z	card0,98,17,16,N/A,0;;
2026-08-03T16:10:26Z	card0,98,17,15,N/A,0;;
2026-08-03T16:10:27Z	card0,98,17,15,N/A,0;;
2026-08-03T16:10:28Z	card0,100,17,17,N/A,0;;
2026-08-03T16:10:29Z	card0,100,17,3,N/A,0;;
2026-08-03T16:10:30Z	card0,100,17,12,N/A,0;;
2026-08-03T16:10:32Z	card0,99,17,2,N/A,0;;
2026-08-03T16:10:33Z	card0,98,17,2,N/A,0;;
2026-08-03T16:10:34Z	card0,99,17,16,N/A,0;;
2026-08-03T16:10:35Z	card0,100,17,16,N/A,0;;
2026-08-03T16:10:36Z	card0,100,17,2,N/A,0;;
2026-08-03T16:10:37Z	card0,99,17,3,N/A,0;;
2026-08-03T16:10:38Z	card0,99,17,16,N/A,0;;
2026-08-03T16:10:40Z	card0,98,17,2,N/A,0;;
2026-08-03T16:10:41Z	card0,99,17,16,N/A,0;;
2026-08-03T16:10:42Z	card0,100,17,2,N/A,0;;
2026-08-03T16:10:43Z	card0,100,17,15,N/A,0;;
2026-08-03T16:10:44Z	card0,99,17,16,N/A,0;;
2026-08-03T16:10:45Z	card0,99,17,2,N/A,0;;
2026-08-03T16:10:46Z	card0,99,17,15,N/A,0;;
2026-08-03T16:10:47Z	card0,99,17,16,N/A,0;;
2026-08-03T16:10:49Z	card0,99,17,15,N/A,0;;
2026-08-03T16:10:50Z	card0,99,17,15,N/A,0;;
2026-08-03T16:10:51Z	card0,99,17,17,N/A,0;;
2026-08-03T16:10:52Z	card0,98,17,15,N/A,0;;
2026-08-03T16:10:53Z	card0,99,17,17,N/A,0;;
2026-08-03T16:10:54Z	card0,90,17,13,N/A,0;;
2026-08-03T16:10:55Z	card0,99,17,17,N/A,0;;
2026-08-03T16:10:56Z	card0,99,17,15,N/A,0;;
2026-08-03T16:10:58Z	card0,100,17,15,N/A,0;;
2026-08-03T16:10:59Z	card0,99,17,2,N/A,0;;
2026-08-03T16:11:00Z	card0,100,17,15,N/A,0;;
2026-08-03T16:11:01Z	card0,100,17,9,N/A,0;;
2026-08-03T16:11:02Z	card0,90,17,14,N/A,0;;
2026-08-03T16:11:03Z	card0,100,17,16,N/A,0;;
2026-08-03T16:11:04Z	card0,99,17,15,N/A,0;;
2026-08-03T16:11:06Z	card0,98,17,6,N/A,0;;
2026-08-03T16:11:07Z	card0,100,17,2,N/A,0;;
2026-08-03T16:11:08Z	card0,100,17,12,N/A,0;;
2026-08-03T16:11:09Z	card0,100,17,17,N/A,0;;
2026-08-03T16:11:10Z	card0,100,17,15,N/A,0;;
2026-08-03T16:11:11Z	card0,100,17,10,N/A,0;;
2026-08-03T16:11:12Z	card0,99,17,17,N/A,0;;
2026-08-03T16:11:13Z	card0,100,17,15,N/A,0;;
2026-08-03T16:11:15Z	card0,99,17,62,N/A,0;;
2026-08-03T16:11:16Z	card0,100,17,15,N/A,0;;
2026-08-03T16:11:17Z	card0,100,17,15,N/A,0;;
2026-08-03T16:11:18Z	card0,99,17,16,N/A,0;;
2026-08-03T16:11:19Z	card0,100,17,16,N/A,0;;
2026-08-03T16:11:20Z	card0,98,17,16,N/A,0;;
2026-08-03T16:11:21Z	card0,99,17,5,N/A,0;;
2026-08-03T16:11:23Z	card0,100,17,22,N/A,0;;
2026-08-03T16:11:24Z	card0,99,17,2,N/A,0;;
2026-08-03T16:11:25Z	card0,98,17,16,N/A,0;;
2026-08-03T16:11:26Z	card0,90,17,14,N/A,0;;
2026-08-03T16:11:27Z	card0,97,17,2,N/A,0;;
2026-08-03T16:11:28Z	card0,99,17,15,N/A,0;;
2026-08-03T16:11:29Z	card0,99,17,16,N/A,0;;
2026-08-03T16:11:30Z	card0,100,17,15,N/A,0;;
2026-08-03T16:11:32Z	card0,100,17,2,N/A,0;;
2026-08-03T16:11:33Z	card0,99,17,17,N/A,0;;
2026-08-03T16:11:34Z	card0,100,17,15,N/A,0;;
2026-08-03T16:11:35Z	card0,98,17,16,N/A,0;;
2026-08-03T16:11:36Z	card0,100,17,16,N/A,0;;
2026-08-03T16:11:37Z	card0,100,17,5,N/A,0;;
2026-08-03T16:11:38Z	card0,99,17,15,N/A,0;;
2026-08-03T16:11:39Z	card0,100,17,57,N/A,0;;
2026-08-03T16:11:41Z	card0,100,17,2,N/A,0;;
2026-08-03T16:11:42Z	card0,99,17,17,N/A,0;;
2026-08-03T16:11:43Z	card0,100,17,10,N/A,0;;
2026-08-03T16:11:44Z	card0,100,17,2,N/A,0;;
2026-08-03T16:11:45Z	card0,99,17,1,N/A,0;;
2026-08-03T16:11:46Z	card0,100,17,15,N/A,0;;
2026-08-03T16:11:47Z	card0,100,17,16,N/A,0;;
2026-08-03T16:11:49Z	card0,100,17,1,N/A,0;;
2026-08-03T16:11:50Z	card0,100,17,15,N/A,0;;
2026-08-03T16:11:51Z	card0,99,17,6,N/A,0;;
2026-08-03T16:11:52Z	card0,100,17,16,N/A,0;;
2026-08-03T16:11:53Z	card0,99,17,15,N/A,0;;
2026-08-03T16:11:54Z	card0,100,17,17,N/A,0;;
2026-08-03T16:11:55Z	card0,98,17,15,N/A,0;;
2026-08-03T16:11:56Z	card0,92,17,1,N/A,0;;
2026-08-03T16:11:58Z	card0,99,17,2,N/A,0;;
2026-08-03T16:11:59Z	card0,99,17,16,N/A,0;;
2026-08-03T16:12:00Z	card0,100,17,2,N/A,0;;
2026-08-03T16:12:01Z	card0,99,17,51,N/A,0;;
2026-08-03T16:12:02Z	card0,100,17,16,N/A,0;;
2026-08-03T16:12:03Z	card0,100,17,45,N/A,0;;
2026-08-03T16:12:04Z	card0,99,17,15,N/A,0;;
2026-08-03T16:12:05Z	card0,100,17,57,N/A,0;;
2026-08-03T16:12:07Z	card0,98,17,15,N/A,0;;
2026-08-03T16:12:08Z	card0,99,17,26,N/A,0;;
2026-08-03T16:12:09Z	card0,100,17,15,N/A,0;;
2026-08-03T16:12:10Z	card0,100,17,15,N/A,0;;
2026-08-03T16:12:11Z	card0,99,17,19,N/A,0;;
2026-08-03T16:12:12Z	card0,100,17,30,N/A,0;;
2026-08-03T16:12:13Z	card0,99,17,50,N/A,0;;
2026-08-03T16:12:15Z	card0,100,17,17,N/A,0;;
2026-08-03T16:12:16Z	card0,100,17,15,N/A,0;;
2026-08-03T16:12:17Z	card0,100,17,69,N/A,0;;
2026-08-03T16:12:18Z	card0,99,17,2,N/A,0;;
2026-08-03T16:12:19Z	card0,100,17,2,N/A,0;;
2026-08-03T16:12:20Z	card0,99,17,18,N/A,0;;
2026-08-03T16:12:21Z	card0,100,17,2,N/A,0;;
2026-08-03T16:12:22Z	card0,100,17,15,N/A,0;;
2026-08-03T16:12:24Z	card0,99,17,17,N/A,0;;
2026-08-03T16:12:25Z	card0,100,17,15,N/A,0;;
